Run!	Chạy!
Are you all right?	Bạn có làm sao không?
Are you all tired?	Bạn có mệt không?
Are you busy, Tom?	Tom này, bạn có bận không?
Are you in a rush?	Bạn đang vội à?
Aren't you hungry?	Cậu không đói sao?
Beef is expensive.	Thịt bò rất đắt.
Call an ambulance.	Gọi xe cứu thương đi.
Call an ambulance.	Gọi xe cấp cứu đi.
Call an ambulance.	Gọi cấp cứu đi.
Can I pay by Visa?	Thanh toán bằng Visa được chứ?
Can you advise me?	Bạn có thể cho tôi vài lời khuyên được không?
Can you decode it?	Bạn có giải mã được cái đó không?
Can you feel this?	Bạn có cảm nhận được điều đó không?
Come on, admit it.	Thôi nào, thừa nhận đi.
Come on, hurry up.	Thôi nào, nhanh lên đi.
Did Tom know Mary?	Tom có quen Mary không?
Did Tom need help?	Tom có cần giúp đỡ không?
Do you have a car?	Bạn có ô tô không?
Does she know you?	Cô ấy có biết bạn không vậy?
Does she know you?	Cô ấy có biết bạn không?
Don't be childish.	Đừng có trẻ con như vậy.
Don't stop me now.	Đừng cản tôi lúc này.
Don't stop me now.	Đừng ngăn cản tôi lúc này.
Don't stop me now.	Đừng ngăn tôi lại lúc này.
Don't talk to Tom.	Đừng nói chuyện với Tom.
Haste makes waste.	Dục tốc bất đạt.
He arrived safely.	Anh ấy đã đến nơi an toàn.
He has no bicycle.	Anh ấy không có xe đạp.
He has no bicycle.	Ông ấy không có xe đạp.
He may come today.	Có lẽ hôm nay anh ấy sẽ đến đấy.
He pushed past me.	Anh ta đẩy qua tôi.
He speaks English.	Ông ấy nói tiếng Anh.
He speaks English.	Anh ấy nói tiếng Anh.
He struck a match.	Anh ấy đã quẹt diêm.
He struck a match.	Ông ta đã quẹt một que diêm.
Hey, it's snowing.	A, có tuyết kìa!
Hold that thought.	Dừng lại đây đã.
How did you reply?	Bạn đã trả lời như thế nào?
How's your father?	Ba của bạn sao rồi?
I agreed with Tom.	Tôi đồng tình với Tom.
I am eating fruit.	Tôi đang ăn hoa quả.
I am really sorry.	Tôi thật sự rất xin lỗi.
I am really sorry.	Tôi vô cùng xin lỗi.
I beg your pardon?	Ông có thể nói lại một lần nữa được không ạ?
I beg your pardon?	Cô có thể nói lại được không ạ?
I can make a call.	Tôi có thể gọi một cuộc.
I can't do it now.	Tôi không thể thực hiện nó lúc này.
I can't stand him.	Tôi không thể chịu được anh ta.
I can't swim well.	Tôi bơi không giỏi.
I don't eat bread.	Tôi không ăn bánh mì.
I don't swim well.	Tôi bơi không giỏi.
I have a computer.	Tôi có một cái máy tính.
I have a computer.	Tôi có một cái máy vi tính.
I have a computer.	Tôi có một chiếc máy tính.
I have a computer.	Tôi có một chiếc máy vi tính.
I have a headache.	Tôi bị nhức đầu.
I have a headache.	Tôi bị đau đầu.
I have some gifts.	Tôi có vài món quà.
I know how to ski.	Tôi biết trượt tuyết.
I like being busy.	Tôi thích bận rộn.
I like your beard.	Tôi thích bộ râu của bạn.
I must leave here.	Tôi phải rời khỏi đây.
I really like him.	Tôi thực sự thích anh ta.
I really like him.	Tôi thực sự thích cậu ta.
I said I'll do it.	Tôi đã nói là tôi sẽ làm mà.
I think Tom is in.	Tôi nghĩ là Tom đang ở bên trong.
I want a lot more.	Tôi muốn nhiều hơn.
I wasn't involved.	Tôi không liên quan.
I wasn't involved.	Tôi không có liên quan.
I went to the zoo.	Tôi đã tới vườn thú.
I'll come at once.	Tôi sẽ đến một lần.
I'll eat anything.	Tôi sẽ ăn bất cứ thứ gì.
I'll go to school.	Tôi sẽ đi học.
I'm Tom's brother.	Tôi là anh trai Tom.
I'm Tom's brother.	Tôi là em trai Tom.
I'm Tom's brother.	Tôi là anh trai của Tom.
I'm Tom's brother.	Tôi là em trai của Tom.
I'm a human being.	Tôi là con người.
I'm going to swim.	Tôi sẽ đi bơi.
I've got to do it.	Chúng ta phải làm nó.
Is there a reward?	Có phần thưởng hay không?
Is this a problem?	Đây có phải vấn đề không?
It makes no sense.	Nó chẳng có ý nghĩa gì cả.
It's a lot of fun.	Thật vui.
It's an old piano.	Đó là một chiếc đàn piano cũ.
It's easy for Tom.	Với Tom nó chỉ là chuyện nhỏ.
It's gotten worse.	Tình hình bắt đầu trở nên tồi tệ.
It's part of life.	Nó là một phần của cuộc sống.
It's payback time.	Đã đến lúc trả đũa rồi.
It's payback time.	Đến lúc trả đũa rồi.
It's payback time.	Đã đến lúc trả thù rồi.
It's time for bed.	Đã đến giờ đi ngủ.
Keep your hair on!	Giữ tóc của bạn ở đó!
Let's not do that.	Đừng làm điều đó.
Life is too short.	Cuộc đời quá ngắn ngủi.
My house is dirty.	Nhà tôi bẩn lắm.
Please be serious.	Làm ơn nghiêm túc đi.
Prices are rising.	Vật giá đang tăng.
She drives me mad.	Cô ấy làm tôi phát điên.
She likes to read.	Cô ấy thích đọc sách báo.
She sells flowers.	Cô ta bán hoa.
She's a professor.	Cô ấy là một giáo viên.
Sign here, please.	Vui lòng ký vào đây.
Silence is golden.	Im lặng là vàng.
Someone's singing.	Có ai đó đang hát.
Thanks a lot, Tom.	Cám ơn Tom rất nhiều.
That can't happen.	Không thể có chuyện đó.
That girl is Mary.	Cô gái kia là Mary.
That won't happen.	Điều đó sẽ không xảy ra.
That won't happen.	Điều đó sẽ không xảy ra đâu.
That's all I have.	Đó là tất cả những gì mà tôi có.
The sun is rising.	Mặt trời đang lên.
The trunk is open.	Cái va li đang mở.
The trunk is open.	Cái thùng xe hơi đang mở.
The war has ended.	Chiến tranh đã kết thúc.
There is no limit.	Không có giới hạn nào cả.
They haven't left.	Họ chưa đi.
They went fishing.	Họ đã đi câu cá.
They were married.	Chúng nó cưới nhau rồi.
They were married.	Họ đã lấy nhau rồi.
They were married.	Họ lấy nhau rồi.
They were married.	Bọn họ đã lấy nhau rồi.
They're all dying.	Tất cả bọn họ đều đang chết dần.
This dog is white.	Con chó này màu trắng.
Tom doesn't smile.	Tom không cười.
Tom had no hat on.	Tom không đội mũ
Tom is behind you.	Tom đang ở phía sau bạn.
Tom is behind you.	Tom đang ở đằng sau bạn đấy.
Tom is my brother.	Tom là anh trai của tôi.
Tom is my brother.	Tom là em trai của tôi.
Tom is recovering.	Tom đang dần hồi phục.
Tom isn't resting.	Tom không nghỉ.
Tom isn't resting.	Tom không nghỉ ngơi.
Tom wants to swim.	Tom muốn đi bơi.
Tom was depressed.	Tom đã bị chán nản.
Tom was in heaven.	Tom đã ở trên thiên đường.
Tom will beat you.	Tom sẽ đánh bại bạn.
We don't know why.	Tôi không biết tại sao.
We gave them food.	Chúng tôi cho họ đồ ăn.
We gave them food.	Chúng tôi tặng họ thức ăn.
We know this song.	Tụi tao biết bài hát này.
We know this song.	Chúng tôi biết bài hát này.
We'll let Tom try.	Để Tom thử đi.
We're all excited.	Chúng tôi đều rất hứng thú.
What did you make?	Bạn đã tạo ra cái gì rồi ?
What'll we do now?	Chúng ta sẽ làm gì bây giờ?
Where do you live?	Bạn sống ở đâu?
Which one's yours?	Cái nào là của bạn?
Who's watching TV?	Ai đang xem ti vi thế?
Why can't he come?	Sao anh ta không đến được?
Why can't he come?	Tại sao anh ta không thể đến được?
You are beautiful.	Bạn đẹp quá.
You can have this.	Bạn có thể lấy nó.
You could help me.	Bạn có thể giúp tôi.
You have to hurry.	Bạn phải nhanh lên.
You must hurry up.	Bạn phải nhanh lên.
You need to hurry.	Bạn phải nhanh lên.
You should try it.	Bạn nên thử nó.
You shouldn't lie.	Cậu không nên nói dối.
You two stay here.	Hai người ở lại đây.
Your book is here.	Sách của bạn ở đây.
Your book is here.	Quyển sách của bạn ở chỗ này.
A cat has two ears.	Con mèo có hai cái tai.
Are you blaming me?	Anh đổ lỗi cho tôi ư?
Are you busy today?	Hôm nay ban có rãnh không?
Are you happy here?	Ở đây bạn có hạnh phúc?
Can I see that one?	Hãy cho tôi xem cái kia.
Do you know kabuki?	Bạn có biết kịch Kabuki không?
Do you play soccer?	Bạn có chơi bóng đá không?
Do you want to eat?	Đi ăn không?
Do you want to see?	Bạn có muốn xem không?
Does Tom know Mary?	Tom có biết Mary không?
Does it hurt a lot?	Có đau lắm không?
Don't try too hard.	Đừng cố quá.
Don't you think so?	Bạn có nghĩ vậy không?
Everyone hates Tom.	Tất cả mọi người đều ghét Tom.
Everyone likes her.	Mọi người đều thích cô ấy.
Everyone likes her.	Tất cả mọi người đều thích cô ấy.
Get over here, Tom.	Qua bên này đi Tom.
Give me the bottle.	Đưa tôi cái chai đó đi.
Give me the bottle.	Hãy đưa tôi cái chai đó.
Give me the bottle.	Hãy đưa cho tôi cái chai đó.
Give me the bottle.	Hãy đưa cho tôi cái chai đó đi.
He doesn't know me.	Anh ấy không biết tôi.
He doesn't know me.	Ông ta không biết tôi là ai.
He got back at six.	Anh ta quay trở lại vào lúc 6 giờ.
He has a white cat.	Anh ấy đang nuôi một con mèo trắng.
He has a white cat.	Ông ấy có nuôi một con mèo trắng.
He returned at six.	Anh ta quay trở lại vào lúc 6 giờ.
He wants a new car.	Anh ấy muốn một chiếc xe mới
He won't like this.	Nó sẽ không thích cái này.
He won't like this.	Anh ấy sẽ không thích cái này.
He won't like this.	Nó sẽ không ưa cái này.
He won't like this.	Ông ta sẽ không ưa cái này.
He won't like this.	Nó sẽ không thích điều này.
He won't like this.	Nó sẽ không thích việc này.
He's a patient man.	Anh ấy là một người kiên trì.
Here comes the bus!	Xe buýt đến rồi.
I can ride a horse.	Tôi có thể cưỡi ngựa.
I can ride a horse.	Tôi biết cưỡi ngựa.
I can't believe it!	Tôi không tin!
I can't believe it.	Tôi không thể tin được.
I can't work today.	Hôm nay tôi không thể làm việc.
I don't need a bed.	Tôi không cần giường.
I don't trust them.	Tôi không tin họ.
I don't trust them.	Tôi không tin tưởng bọn họ.
I don't understand.	Tôi không hiểu.
I don't wear a tie.	Tôi không đeo cà vạt.
I dreamt about you.	Tôi mơ đến bạn.
I dropped my apple.	Tôi đã đánh rơi quả táo của mình.
I give you my word.	Tôi hứa.
I got Tom to do it.	Tôi bảo Tom làm rồi.
I have another job.	Tôi có một công việc khác.
I have to see this.	Tôi phải nhìn thấy nó
I helped Tom do it.	Tôi đã giúp Tom làm điều đó.
I helped Tom do it.	Tôi đã giúp Tom làm việc đó.
I hope you like it.	Hy vọng bạn thích nó.
I know nothing yet.	Tôi vẫn chưa biết gì cả.
I know nothing yet.	Tôi vẫn chưa biết gì hết.
I like candlelight.	Tôi thích ánh nến.
I love Korean food.	Tôi rất thích món ăn Hàn Quốc.
I love Korean food.	Tôi cực kỳ thích ẩm thực Hàn Quốc.
I loved that house.	Tôi yêu căn nhà đó.
I made Tom do that.	Tôi đã bắt Tom làm điều đó.
I made Tom do that.	Tôi đã bắt Tom làm việc đó.
I need your advice.	Tôi cần lời chỉ bảo của bạn.
I said I'll get it.	Tôi nói là tôi sẽ lấy nó.
I turned myself in.	Tôi đã ra đầu thú.
I walked to school.	Tôi đi bộ đến trường.
I walked to school.	Tôi đi bộ tới trường.
I was playing here.	Tôi đã chơi ở đây.
I woke up at three.	Tôi tỉnh dậy lúc ba giờ.
I won't assist you.	Tôi không giúp bạn đâu.
I won't come today.	Hôm nay tôi sẽ không đến.
I won't come today.	Hôm nay tôi sẽ không tới.
I won't come today.	Tôi sẽ không đến hôm nay.
I won't come today.	Tôi sẽ không tới hôm nay.
I wrote it for Tom.	Tôi đã viết nó cho Tom.
I'll give it a try.	Tôi sẽ thử.
I'll give it a try.	Tôi sẽ thử xem sao.
I'm a photographer.	Tôi là một phó nháy.
I'm in the library.	Tôi đang ở trong thư viện.
I'm not illiterate.	Tôi không phải người mù chữ.
I'm not your enemy.	Tôi không phải là kẻ thù.
I'm still in shock.	Tôi vẫn đang bị sốc.
I'm writing a book.	Tôi đang viết một cuốn sách.
I'm your assistant.	Tôi là trợ lý của bạn.
Is Tom unconscious?	Tom có tỉnh không?
Is she your sister?	Cô ấy là em gái bạn à?
It'll be all right.	Sẽ ổn thôi.
It's a lovely idea.	Một ý tưởng đáng yêu.
It's about to rain.	Có lẽ là trời sắp mưa.
It's about to rain.	Chắc có lẽ trời sắp mưa rồi.
It's going to rain.	Chắc có lẽ trời sắp mưa rồi.
Knowledge is power.	Tri thức là sức mạnh.
Let's get divorced.	Chúng ta ly hôn đi.
Let's get divorced.	Chúng mình ly hôn đi.
Let's get divorced.	Hay là chúng ta ly hôn đi.
My father grew old.	Cha của tôi già đi.
My right leg hurts.	Tôi đau chân phải.
Please don't stand.	Xin đừng đứng lên.
Ready! Get set! Go!	Vào vị trí, sẵn sàng, chạy!
Ready! Get set! Go!	Vào vị trí, sẵn sàng, bơi!
She has green eyes.	Cô ấy có mắt xanh.
She has green eyes.	Cô ấy có đôi mắt xanh.
She is always busy.	Chị ấy lúc nào cũng rất bận.
She is really cute.	Cô ấy thực sự dễ thương.
She's thirty-three.	Cô ấy ba mươi ba tuổi.
Show me an example.	Hãy cho tôi một ví dụ.
Somebody's singing.	Có ai đó đang hát.
Someone is singing.	Có ai đó đang hát.
Take a sip of this.	Hãy nhấp thử một ngụm.
Take a sip of this.	Nhấp thử một ngụm đi.
That doll is scary.	Con búp bê kia thật đáng sợ.
That is intriguing.	Cái đó nhìn hấp dẫn.
That isn't my call.	Đó không phải là quyết định của tôi.
That's a good idea!	Đó là một ý kiến hay!
That's a good idea!	Đó là một ý tưởng hay!
That's a good idea!	Ý hay đấy!
That's not my call.	Đó không phải là quyết định của tôi.
The dog is barking.	Con chó đang sủa.
The tree fell down.	Cây đổ.
They both did well.	Cả hai người họ đều đã làm tốt.
They both did well.	Hai người đó đều đã làm tốt.
They still want it.	Họ vẫn muốn nó.
They still want it.	Họ vẫn muốn cái đó.
They're handcuffed.	Họ đã bị còng tay.
They're not hungry.	Họ không đói.
This is remarkable.	Điều này thật đáng chú ý.
This is very cheap.	Cái này rất rẻ.
This is very cheap.	Cái này vô cùng rẻ.
This is very cheap.	Cái này cực kỳ rẻ.
This isn't a tiger.	Đó không phải là một con hổ.
This knife is dull.	Cái dao này bị cùn.
This knife is dull.	Chiếc dao này bị cùn.
Tom agreed to help.	Tom đã đồng ý giúp đỡ.
Tom almost drowned.	Tom suýt (mém) bị đuối nước.
Tom can barely see.	Tom hầu như không nhìn thấy gì.
Tom does good work.	Tom làm việc tốt.
Tom fell backwards.	Tom đã ngã ra sau.
Tom is a cat lover.	Tom là một người yêu mèo.
Tom is a hillbilly.	Tom là dân nhà quê.
Tom is a socialist.	Tom là một người chủ nghĩa xã hội.
Tom is on the roof.	Tom đang ở trên mái nhà.
Tom is such a hunk.	Tom quả là một người đàn ông lực lưỡng.
Tom isn't the best.	Tom không phải là số một.
Tom isn't the best.	Tom không phải là người giỏi nhất.
Tom killed himself.	Tom đã tự sát.
Tom killed himself.	Tom đã tự tử.
Tom killed himself.	Tom đã tự vẫn.
Tom likes to drink.	Tom thích uống.
Tom lost his phone.	Tom đánh mất điện thoại.
Tom must be guilty.	Tom phải có tội.
Tom read the Bible.	Tom đọc Kinh Thánh.
Tom said thank you.	Tom đã nói cảm ơn.
Tom says he's busy.	Tom nói anh ấy bận.
Tom stayed with me.	Tom ở lại với tôi.
Tom was frightened.	Tom đã rất hoảng sợ.
Tom was not famous.	Tom không nổi tiếng.
Tom went on a trip.	Tom đã đi du lịch.
Tom's gun misfired.	Khẩu súng của Tom bị cướp cò.
Tom, where are you?	Tom ơi, bạn đang ở đâu?
Tomorrow is Sunday.	Ngày mai là Chủ nhật.
We can rely on Tom.	Chúng ta có thể dựa vào Tom.
We can rely on Tom.	Chúng tôi có thể dựa vào Tom.
We can't stay here.	Chúng ta không thể ở đây.
We can't stay here.	Chúng tôi không thể ở đây.
We felt threatened.	Chúng tôi cảm thấy bị đe dọa.
We gave it to them.	Bọn tớ đưa nó cho họ.
We were very tired.	Chúng tôi đã rất mệt mõi.
We'll wait outside.	Chúng ta sẽ chờ ở ngoài.
We'll wait outside.	Tụi tao sẽ chờ ở ngoài.
We're going inside.	Chúng tôi đang đi vào trong.
What an idiot I am!	Tôi đúng là một thằng ngu!
What did you drink?	Cậu đã uống gì?
What did you drink?	Bạn đã uống gì?
What's in this bag?	Trong túi này có gì vậy?
What's there to do?	Có việc gì ở đó để làm?
Where does he live?	Anh ấy đang sống ở đâu?
Where does he live?	Nhà anh ấy ở đâu?
Which boy did that?	Thằng bé nào đã làm chuyện đó vậy?
Which cup is yours?	Tách nào của bạn?
